ID_Empleado;Nombre;Apellido;Fecha_Nacimiento,Genero;Area;Salario;Fecha_Comienzo;Fecha_Finalizacion;Fecha_Promocion;Tipo;Edad;Email
00-0037846;Kimmy;Walczynski;1991-06-04;hombre;Engineering;77719;2002-01-20;NULL;NULL;Hibrido;32;Kimmy_Wa_Eng@consulting.com
00-0045747;Corbie;Bittlestone;1989-07-29;hombre;Sales;122484;2010-10-12;NULL;NULL;Remoto;34;Corbie_Bi_Sal@consulting.com
00-0076100;Terrell;Suff;1994-04-11;mujer;Product Management;114648;2010-09-29;2029-10-29;NULL;Remoto;29;Terrell_Su_Pro@consulting.com
00-0363185;Sandro;Admans;1979-11-19;hombre;Product Management;174195;2012-11-08;NULL;NULL;Remoto;44;Sandro_Ad_Pro@consulting.com
00-0381660;Wainwright;Corfield;1996-12-13;hombre;Engineering;164055;2001-02-20;2008-12-05;NULL;Hibrido;27;Wainwright_Co_Eng@consulting.com
00-0419202;Dyann;Isoldi;1980-03-27;hombre;Engineering;135543;2005-01-27;NULL;NULL;Remoto;43;Dyann_Is_Eng@consulting.com
00-0472287;Grantley;Oret;1975-09-06;hombre;Services;166001;2004-11-01;NULL;NULL;Remoto;48;Grantley_Or_Ser@consulting.com
00-0472832;Elmore;Worner;1966-01-07;mujer;Engineering;117567;2000-12-05;NULL;NULL;Remoto;58;Elmore_Wo_Eng@consulting.com
00-0566380;Dud;Brain;1984-03-17;hombre;Business Development;150237;2008-09-17;NULL;NULL;Hibrido;39;Dud_Br_Bus@consulting.com
00-0571075;Aguie;Conford;1971-11-02;hombre;Business Development;174698;2015-11-25;NULL;NULL;Remoto;52;Aguie_Co_Bus@consulting.com
00-0624189;Katerina;Rosborough;1967-08-20;hombre;Engineering;124803;2019-05-17;NULL;NULL;Remoto;56;Katerina_Ro_Eng@consulting.com
00-0715212;Alida;Longley;1973-01-28;mujer;Accounting;156904;2002-02-04;NULL;NULL;Hibrido;51;Alida_Lo_Acc@consulting.com
00-0755645;Laraine;Petre;1967-05-11;hombre;Engineering;140626;2010-09-30;NULL;NULL;Remoto;56;Laraine_Pe_Eng@consulting.com
00-0778934;Gareth;MacCook;1987-02-21;mujer;Legal;107742;2010-02-18;NULL;NULL;Remoto;37;Gareth_Ma_Leg@consulting.com
00-0794247;Scottie;Chestney;1972-02-23;mujer;Engineering;90315;2002-07-03;NULL;NULL;Remoto;52;Scottie_Ch_Eng@consulting.com
00-0948136;Christophorus;Boseley;1983-05-23;mujer;Marketing;124809;2007-09-06;NULL;NULL;Remoto;40;Christophorus_Bo_Mar@consulting.com
00-0971612;Arleyne;Froome;1999-08-01;hombre;Engineering;137597;2015-04-09;NULL;NULL;Remoto;24;Arleyne_Fr_Eng@consulting.com
00-1051096;Todd;Cashen;1999-06-19;mujer;Accounting;115695;2014-06-20;NULL;NULL;Remoto;24;Todd_Ca_Acc@consulting.com
00-1052230;Elmo;McNee;1988-12-16;mujer;Services;78418;2002-07-18;2006-05-22;NULL;Remoto;35;Elmo_Mc_Ser@consulting.com
00-1100714;Regen;Nafzger;1990-04-06;hombre;Human Resources;164369;2016-07-23;2022-07-12;NULL;Hibrido;33;Regen_Na_Hum@consulting.com
00-1147503;Penelope;Wenman;1994-12-19;hombre;Business Development;154937;2019-09-10;NULL;NULL;Remoto;29;Penelope_We_Bus@consulting.com
00-1189819;Rudolf;Reichardt;1979-06-05;hombre;Business Development;97134;2007-05-07;2022-02-25;NULL;Hibrido;44;Rudolf_Re_Bus@consulting.com
